"","x"
"1","heyjohn g of wi wants to know if you stand with big cable or support netneutrality"
"2","heywesley m of or sez netneutrality is the only way for a free market of internet services"
"3","heymeghan m of wa wants you to support netneutrality not big cable"
"4","net neutrality due to take effect in a few days if youre doubtful of negative impact do a search on netneutrality and seeold r results"
"5","free marketers dont shill for cable monopoliesmichele r of oh sez support netneutrality"
"6","heymatthew s of ca sez conservative voters support netneutrality why dont you"
"7","heykristina f of ny sez conservative voters support netneutrality why dont you"
"8","heysteve h of me sez free marketers dont shill for cable monopolies netneutrality"
"9","heymatt b of ca sez big cable gets billions in subsidies stand with the people netneutrality"
"10","heytrysten g of va sez netneutrality is the only way for a free market of internet services"
"11","free marketers dont shill for cable monopolieswilliam w of in sez support netneutrality"
"12","heykevin h of ny wants to know why you arent siding with millions on netneutrality"
"13","fast lanes hurt innovationpeter f of wi sez support netneutrality"
"14","heykarri s of ut sez free marketers dont shill for cable monopolies netneutrality"
"15","heyjudy b of ca sez conservative voters support netneutrality why dont you"
"16","heynjna b of ca sez conservative voters support netneutrality why dont you"
"17","heyfrank t of 
 sez conservative voters support netneutrality why dont you"
"18","why netneutrality is not helping the internet"
"19","conservative voters support netneutralitymartin m of ct wants to know why you dont too"
"20","heylois w of az sez conservative voters support netneutrality why dont you"
"21","heyrex h of or sez big cable gets billions in subsidies stand with the people netneutrality"
"22","heyruben m of nm sez conservative voters support netneutrality why dont you"
"23","free marketers dont shill for cable monopolieskathleen o of fl sez support netneutrality"
"24","heytammy m of md sez big cable gets billions in subsidies stand with the people netneutrality"
"25","heyjoan l of al sez fast lanes hurt innovation support netneutrality"
"26","heyrobert w of wa sez strong netneutrality enables innovation"
"27","heypatricia a of mo sez netneutrality should not be partisan its about innovation"
"28","jim p of ny sez side with the public on netneutralitynot big cable"
"29","do you stand with big cable or support netneutralitylou d of nj wants to know"
"30","whenampdoes itwe scream netneutrality whenampdoes it subtly we ignore"
"31","mina l of tx sez side with the public on netneutralitynot big cable"
"32","heyjimmy g of il sez netneutrality should not be partisan its about innovation"
"33","netneutrality rules are an affront to free speech giving the administration not u control of how u access info htt"
"34","heyrafael l of fl sez strong netneutrality enables innovation"
"35","heylucinda s of il sez conservative voters support netneutrality why dont you"
"36","heymark h of ca sez netneutrality is the only way for a free market of internet services"
"37","heymarilyn w of ma wants to know why you arent siding with millions on netneutrality"
"38","heyvincent c of nd sez you should side with the public on netneutrality not big cable"
"39","fast lanes hurt innovationjim c of ga sez support netneutrality"
"40","do you stand with big cable or support netneutralitytaylor m of nm wants to know"
"41","heyleslie h of tx sez conservative voters support netneutrality why dont you"
"42","heykatherine g of md wants to know why you arent siding with millions on netneutrality"
"43","heysteve s of il sez big cable gets billions in subsidies stand with the people netneutrality"
"44","netneutralityviolation ofspottedspecial data caps for whatsapp and viber savetheinternet"
"45","michael b of fl sez side with the public on netneutralitynot big cable"
"46","heyronald l of ca wants you to support netneutrality not big cable"
"47","heymartha s of ny sez netneutrality is the only way for a free market of internet services"
"48","heysue s of wa sez strong netneutrality enables innovation"
"49","heyjohn d of va sez fast lanes hurt innovation support netneutrality"
"50","heyjennifer g of tx sez free marketers dont shill for cable monopolies netneutrality"
"51","heynathan g of wa wants to know if you stand with big cable or support netneutrality"
"52","free marketers dont shill for cable monopoliesrichard c of in sez support netneutrality"
"53","continuing case for tech freedompermissionlessinnovation titleii netneutrality internetfreecom freeopeninternet"
"54","netneutrality rules are an affront to free speech giving the administration not u control of how u access info htt"
"55","heyteresa g of ca sez fast lanes hurt innovation support netneutrality"
"56","heyroberta s of ca sez fast lanes hurt innovation support netneutrality"
"57","do you stand with big cable or support netneutralitytim p of tx wants to know"
"58","william b of ok sez side with the public on netneutralitynot big cable"
"59","heres why netneutrality is not helping the internet"
"60","heymike j of mn wants you to support netneutrality not big cable"
"61","heyrebekha s of az sez big cable gets billions in subsidies stand with the people netneutrality"
"62","heymimielle g of ca sez netneutrality is the only way for a free market of internet services"
"63","fast lanes hurt innovationtom m of pa sez support netneutrality"
"64","dearuser are you aware that your browsed webpages have javascript code inserted by ur isp"
"65","rebecca d of mn sez side with the public on netneutralitynot big cable"
"66","heylesofj wants to know why you arent siding with millions on netneutrality"
"67","heystephen a of md wants to know why you arent siding with millions on netneutrality"
"68","mark w of ma sez side with the public on netneutralitynot big cable"
"69","fast lanes hurt innovationkerry b of wa sez support netneutrality"
"70","heyvirginia k of ca sez strong netneutrality enables innovation"
"71","heyvictoria a of pa wants to know why you arent siding with millions on netneutrality"
"72","bravo the stiff proactive balanced campaign for netneutrality may have something to do with it fortunefavoursbrave"
"73","free marketers dont shill for cable monopolieskarl c of in sez support netneutrality"
"74","conservative voters support netneutralityrobert b of nh wants to know why you dont too"
"75","heres why netneutrality is not helping the internet"
"76","heymichael m of ga sez netneutrality should not be partisan its about innovation"
"77","slap a lawsuit when someone exposes a glaring flaw typical of big corporates netneutrality"
"78","heymax c of wv sez fast lanes hurt innovation support netneutrality"
"79","heres why netneutrality is not helping the internet"
"80","heyk s of nj sez free marketers dont shill for cable monopolies netneutrality"
"81","heres why netneutrality is not helping the internet"
"82","copyright law as an intimidation tacticcopyright netneutrality"
"83","but still u wanna sell internet to few corporates house i support"
"84","heytrai t of mn sez you should side with the public on netneutrality not big cable"
"85","heymarilynn b of md sez free marketers dont shill for cable monopolies netneutrality"
"86","conservative voters support netneutralityjennifer w of co wants to know why you dont too"
"87","sean g of ca wants you to support netneutralitynot big cable"
